 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
     0TRAMO_3                      18.73151     0.18677     0.09338     0.49843    10.40426     5.18583     0.03601    17.47231     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      18.08087     0.18677     0.09338     0.49843    10.40426     5.18583     0.03601    17.68141     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      17.43024     0.18916     0.09458     0.50029    10.41700     5.21150     0.03630    17.88887     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      16.77960     0.19810     0.09905     0.50706    10.46322     5.30549     0.03734    18.09055     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      16.12896     0.19810     0.09905     0.50706    10.46322     5.30549     0.03734    18.29223     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      15.47833     0.19810     0.09905     0.50706    10.46322     5.30549     0.03734    18.49391     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      14.82769     0.19828     0.09914     0.50720    10.46413     5.30736     0.03736    18.69548     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      14.17706     0.19733     0.09867     0.50649    10.45931     5.29750     0.03725    18.89764     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      13.52642     0.19733     0.09867     0.50649    10.45931     5.29750     0.03725    19.09980     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      12.87578     0.17403     0.07362     0.48828    10.33404     5.04594     0.03449    19.31814     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      11.98838     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    19.50053     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      11.10098     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    19.68291     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      10.21358     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    19.86529     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       9.32617     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    20.04768     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       8.43877     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    20.23006     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       7.55137     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    20.41244     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       6.66397     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    20.59483     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       5.77657     0.17391     0.08696     0.18203    16.96552     3.08820     0.05631    20.77721     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       4.88917     0.17471     0.08736     0.18241    16.96566     3.09465     0.05646    20.95914     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       4.00176     0.17471     0.12041     0.18241    16.96566     3.09465     0.05646    21.14106     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       3.60159     0.92051     0.46026     0.29621    12.38204     3.66767     0.25098    21.15952    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       3.20141     0.92051     0.46026     0.29621    12.38204     3.66767     0.25098    21.17797    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.80123     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    21.19249    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.40106     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    21.20701    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.00088     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    21.22153    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       1.60071     1.48922     0.74461     0.33725    13.76902     4.64354     0.32071    21.23597    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       1.20053     1.51734     0.75867     0.33895    13.82598     4.68633     0.32378    21.25028    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.80035     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    21.26457    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.40018     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    21.27886    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.00000     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    21.29315    -0.00050     0.00000     Specified/No wind                  0.00000
 
