 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
     0TRAMO_3                      18.73151     0.07738     0.03869     0.38559     9.56117     3.68671     0.02099    17.74462     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      18.08087     0.07738     0.03869     0.38559     9.56117     3.68671     0.02099    18.10343     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      17.43024     0.08601     0.04301     0.39766     9.65866     3.84085     0.02239    18.43971     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      16.77960     0.08634     0.04317     0.39811     9.66225     3.84662     0.02245    18.77520     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      16.12896     0.08634     0.04317     0.39811     9.66225     3.84662     0.02245    19.11068     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      15.47833     0.08634     0.04317     0.39811     9.66225     3.84662     0.02245    19.44616     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      14.82769     0.08660     0.04330     0.39846     9.66504     3.85110     0.02249    19.78103     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      14.17706     0.08634     0.04317     0.39811     9.66225     3.84662     0.02245    20.11651     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      13.52642     0.08634     0.04317     0.39811     9.66225     3.84662     0.02245    20.45200     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                      12.87578     0.06304     0.02667     0.36326     9.37518     3.40559     0.01851    20.85879     0.00154     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      11.98838     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    21.17633     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      11.10098     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    21.49386     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                      10.21358     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    21.81139     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       9.32617     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    22.12892     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       8.43877     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    22.44646     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       7.55137     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    22.76399     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       6.66397     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    23.08152     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       5.77657     0.06292     0.03146     0.11487    16.93450     1.94532     0.03235    23.39905     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       4.88917     0.17471     0.08736     0.18241    16.96566     3.09465     0.05646    23.58098     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                       4.00176     0.17471     0.12041     0.18241    16.96566     3.09465     0.05646    23.76291     0.00101     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       3.60159     0.92051     0.46026     0.29621    12.38204     3.66767     0.25098    23.78136    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       3.20141     0.92051     0.46026     0.29621    12.38204     3.66767     0.25098    23.79982    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.80123     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    23.81434    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.40106     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    23.82885    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       2.00088     1.47390     0.73695     0.33631    13.73763     4.62005     0.31902    23.84337    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       1.60071     1.48922     0.74461     0.33725    13.76902     4.64354     0.32071    23.85781    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       1.20053     1.51734     0.75867     0.33895    13.82598     4.68633     0.32378    23.87212    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.80035     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    23.88641    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.40018     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    23.90070    -0.00050     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                       0.00000     1.52011     0.76005     0.33912    13.83155     4.69053     0.32408    23.91499    -0.00050     0.00000     Specified/No wind                  0.00000
 
