 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
     0TRAMO_3                     156.42242     2.93223     1.34781     1.06936    14.37792    15.37517     0.19071    18.92481     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     154.34334     2.88256     1.44128     0.65768    16.50967    10.85810     0.26548    19.01545     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     152.26425     2.85593     1.42796     0.65502    16.50443    10.81070     0.26418    19.10654     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     150.18516     2.79332     1.39666     0.64870    16.49193    10.69833     0.26110    19.19871     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     148.10608     2.79364     1.39682     0.64873    16.49199    10.69891     0.26111    19.29086     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     146.02699     2.90809     1.45405     0.66022    16.51465    10.90333     0.26672    19.38108     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     143.94790     2.87063     1.43532     0.65649    16.50733    10.83690     0.26489    19.47193     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     141.86882     2.87013     1.43507     0.65644    16.50723    10.83601     0.26487    19.56278     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     139.78973     2.85359     1.42680     0.65478    16.50397    10.80653     0.26406    19.65390     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     137.71064     4.17778     2.08889     0.77353    16.72054    12.93386     0.32301    19.72840     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_4                     135.63156     4.90990     1.64928     0.83011    16.81314    13.95681     0.35179    19.79680     0.00048     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     131.52119     4.88349     2.44175     0.45383    18.44120     8.36926     0.58350    19.87834     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     127.41082     4.88323     2.44162     0.45383    18.44101     8.36905     0.58349    19.95987     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     123.30045     4.89506     2.44753     0.45414    18.44963     8.37866     0.58423    20.04130     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     119.19008     4.90328     2.45164     0.45435    18.45562     8.38533     0.58475    20.12266     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     115.07972     4.90328     2.45164     0.45435    18.45562     8.38533     0.58475    20.20401     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     110.96935     4.90590     2.45295     0.45442    18.45752     8.38745     0.58491    20.28535     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     106.85898     4.90590     2.45295     0.45442    18.45752     8.38745     0.58491    20.36668     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                     102.74861    10.10570     5.05285     0.55677    21.22309    11.81647     0.85522    20.42231     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                      98.63825    10.10570     5.05285     0.55677    21.22309    11.81647     0.85522    20.47794     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_5                      94.52788    10.11494     3.68031     0.55692    21.22684    11.82160     0.85563    20.53354     0.00642     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      87.34135    12.77089     6.38544     0.90760    18.12992    16.45474     0.77612    20.64071     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      80.15482    12.77089     6.38544     0.90760    18.12992    16.45474     0.77612    20.74788     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      72.96829    17.21159     8.60579     0.95372    19.92276    19.00077     0.90584    20.83970     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      65.78176    17.21159     8.60579     0.95372    19.92276    19.00077     0.90584    20.93153     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      58.59523    24.36159    12.18079     1.01038    22.23458    22.46532     1.08441    21.00823     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      51.40870    24.36159    12.18079     1.01038    22.23458    22.46532     1.08441    21.08493     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      44.22217    24.36159    12.18079     1.01038    22.23458    22.46532     1.08441    21.16164     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      37.03564    25.91409    12.95704     1.02080    22.67292    23.14449     1.11967    21.23593     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      29.84911    25.91409    12.95704     1.02080    22.67292    23.14449     1.11967    21.31021     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_6                      22.66258    25.91360    19.70095     1.02080    22.67278    23.14428     1.11965    21.38450     0.01558     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                      20.39632    25.91360    12.95680     1.02080    22.67278    23.14428     1.11965    21.40793     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                      18.13006    25.91360    12.95680     1.02080    22.67278    23.14428     1.11965    21.43136     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                      15.86380    25.91360    12.95680     1.02080    22.67278    23.14428     1.11965    21.45478     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                      13.59755    25.91360    12.95680     1.02080    22.67278    23.14428     1.11965    21.47821     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                      11.33129    25.91360    12.95680     1.02080    22.67278    23.14428     1.11965    21.50164     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                       9.06503    32.23460    16.11730     1.05848    24.29181    25.71249     1.25366    21.52256     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                       6.79877    32.23460    16.11730     1.05848    24.29181    25.71249     1.25366    21.54348     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                       4.53252    32.23460    16.11730     1.05848    24.29181    25.71249     1.25366    21.56440     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                       2.26626    32.23460    16.11730     1.05848    24.29181    25.71249     1.25366    21.58533     0.01002     0.00000     Specified/No wind                  0.00000
     0TRAMO_7                       0.00000    32.23460    16.11730     1.05848    24.29181    25.71249     1.25366    21.60625     0.01002     0.00000     Specified/No wind                  0.00000
 
